Hands,Evaluation,Probability
"('QD', '5D', '9C', 'KH', 'AS')", No pair ,3.2
"('9C', '9S', '8C', '7C', '9H')", Three of a kind,88.0
"('4C', '10D', '3C', '3H', '10S')", One pair ,3.8
"('JD', 'AS', '3H', '10H', 'AC')", One pair ,71.8
"('AS', '8D', '4D', '2C', '4S')", One pair ,4.2
"('8D', '4H', '8C', 'KS', '9C')", One pair ,17.8
"('AH', '2S', 'JH', 'KS', 'AD')", One pair ,66.2
"('7C', '5S', '9C', 'KC', '6D')", No pair ,0.2
"('AC', '10S', '3H', '7S', '3D')", One pair ,4.6
"('AD', '3S', 'KD', 'QS', '6C')", No pair ,4.0
"('9H', '7C', '5C', '7H', '9C')", Two pair ,78.6
"('3D', '5S', '6H', '6S', '2C')", One pair ,7.8
"('QC', '9S', '9C', '6S', '2D')", One pair ,25.8
"('5S', 'KC', '2H', 'JD', 'AD')", No pair ,2.2
"('9D', '7D', '5C', '6D', 'AS')", No pair ,0.0
"('KH', 'QS', 'KD', '5D', 'AD')", One pair ,65.8
"('JS', 'JH', 'QC', '10C', '5D')", One pair ,37.8
"('7H', 'KS', '6H', '6C', '6S')", Three of a kind,92.6
"('3H', '8D', 'QD', 'KD', '2D')", No pair ,0.0
"('4D', '2C', '6S', '4C', '3C')", One pair ,4.8
"('QC', '7D', '6H', 'QH', '8D')", One pair ,48.0
"('2H', '8D', 'JC', '8C', '6C')", One pair ,21.0
"('9C', '6D', '8H', 'KH', '7C')", No pair ,0.0
"('8S', 'QD', 'JC', '9D', 'AH')", No pair ,3.0
"('JC', '6D', '6C', 'QD', '2C')", One pair ,11.2
"('8H', '2H', 'JD', '3H', 'QD')", No pair ,0.0
"('6D', '4S', 'JD', '8C', '6H')", One pair ,11.2
"('8S', 'QS', '8C', '10S', '2D')", One pair ,17.6
"('3S', 'QH', '3H', 'AC', '9D')", One pair ,4.8
"('10C', '5D', '10D', '2D', '4D')", One pair ,20.6
"('10H', 'JH', '3D', '5H', '6H')", No pair ,0.0
"('9C', '2D', '6S', 'AC', 'JS')", No pair ,0.6
"('10C', '3C', '4C', '4D', '5H')", One pair ,5.0
"('AD', 'JD', '3S', '2C', 'KS')", No pair ,1.8
"('2D', 'KD', '2H', '5S', '3S')", One pair ,3.6
"('3C', '2S', '4H', '2C', '7D')", One pair ,2.6
"('6H', '6D', '3D', '2D', 'JD')", One pair ,7.2
"('4S', 'JH', 'JD', '2D', '7H')", One pair ,31.6
"('9S', 'KD', '7D', '8S', 'KS')", One pair ,55.0
"('10H', '8D', '4S', '5D', '4H')", One pair ,4.6
"('QC', '10D', '3C', 'KC', 'QH')", One pair ,48.2
"('10C', '2D', '3H', 'KH', 'KC')", One pair ,53.2
"('4H', '7C', '7S', '5S', 'JC')", One pair ,13.2
"('4D', '8S', 'QS', '3S', '9H')", No pair ,0.0
"('8S', 'AH', '2H', '7C', 'KS')", No pair ,3.4
"('6S', 'AS', '5D', 'QC', '2C')", No pair ,1.2
"('JD', '9D', '8S', '6D', 'KS')", No pair ,0.2
"('2S', 'AS', '4S', '3D', '10D')", No pair ,0.0
"('3D', '8H', '2H', '9H', '7H')", No pair ,0.0
"('JC', '5C', '8S', '4H', '7S')", No pair ,0.0
"('10C', '3D', 'KH', '4D', '8C')", No pair ,0.0
"('8C', '5D', '8S', '2H', 'KD')", One pair ,15.6
"('10C', 'QD', 'AH', '6C', '3D')", No pair ,1.8
"('AC', '4D', 'KD', 'KH', '5D')", One pair ,60.8
"('JH', 'QC', '2D', 'JS', '4S')", One pair ,33.2
"('KD', '6D', '6H', 'JD', 'AC')", One pair ,13.6
"('2S', '6H', 'AS', 'AC', '2D')", One pair ,2.6
"('KH', '7D', '9S', '4H', '6S')", No pair ,0.2
"('9H', 'QH', '3S', '4D', 'QD')", One pair ,41.8
"('8S', '4S', 'JC', '7C', 'KD')", No pair ,0.2
"('5D', 'JS', 'QC', 'KC', '7H')", No pair ,0.2
"('QH', 'QD', '2C', '2H', '9D')", One pair ,3.6
"('KH', '9D', '2S', 'QS', '2H')", One pair ,2.4
"('3H', 'AS', 'KC', '7C', '2H')", No pair ,2.8
"('2S', 'KD', '3H', '4S', '4H')", One pair ,3.4
"('10D', 'AS', 'AD', '10S', 'QC')", One pair ,36.0
"('4C', '10C', 'JS', '6S', '9S')", No pair ,0.0
